2026-07-12 15:36:51 | INFO     | profiling.driver_profiler | Trip profile distribution: {'Normal Driver': 2, 'Safe Driver': 1}
2026-07-27 13:45:15 | INFO     | pipeline | Running full Phase 9 pipeline on source: data/raw/VED_sample_small.csv
2026-07-27 13:45:15 | INFO     | preprocessing.data_loader | Starting VED preprocessing pipeline
2026-07-27 13:45:16 | INFO     | preprocessing.data_loader | Loaded 7999 rows from VED_sample_small.csv
2026-07-27 13:45:16 | INFO     | preprocessing.data_loader | Removed 801 rows with implausible GPS speed jumps
2026-07-27 13:45:16 | INFO     | preprocessing.data_loader | Preprocessing complete: 7198 rows, 15 vehicles, 22 trips
2026-07-27 13:45:17 | INFO     | feature_engineering.feature_extractor | Extracted features for 22 trips
2026-07-27 13:45:18 | INFO     | detection.behavior_detector | Detected 684 total events across 22 trips
2026-07-27 13:45:18 | INFO     | scoring.driver_scorer | Scored 22 trips (mean score=81.98)
2026-07-27 13:45:18 | INFO     | profiling.driver_profiler | Trip profile distribution: {'Safe Driver': 10, 'Eco Driver': 7, 'Normal Driver': 3, 'High Risk Driver': 2}
2026-07-27 13:45:18 | INFO     | pipeline | Pipeline run complete: 22 trips, 15 drivers, 684 events
